Name,Profession,Month,Net Worth,Net Worth Label
andre,"Carpenter, Electrician, Plumber",1,-29622.37188,"($29,622.37)"
andre,"Carpenter, Electrician, Plumber",2,-29244.021099054087,"($29,244.02)"
andre,"Carpenter, Electrician, Plumber",3,-28864.27624754111,"($28,864.28)"
andre,"Carpenter, Electrician, Plumber",4,-28483.132088933853,"($28,483.13)"
andre,"Carpenter, Electrician, Plumber",5,-28100.58333973014,"($28,100.58)"
andre,"Carpenter, Electrician, Plumber",6,-27716.624719383697,"($27,716.62)"
andre,"Carpenter, Electrician, Plumber",7,-27331.250910234707,"($27,331.25)"
andre,"Carpenter, Electrician, Plumber",8,-26944.45657744008,"($26,944.46)"
andre,"Carpenter, Electrician, Plumber",9,-26556.236388903453,"($26,556.24)"
andre,"Carpenter, Electrician, Plumber",10,-26166.584945204897,"($26,166.58)"
andre,"Carpenter, Electrician, Plumber",11,-25775.496879530332,"($25,775.50)"
andre,"Carpenter, Electrician, Plumber",12,-25382.96676760068,"($25,382.97)"
andre,"Carpenter, Electrician, Plumber",13,-24988.989177600677,"($24,988.99)"
andre,"Carpenter, Electrician, Plumber",14,-24593.558650107472,"($24,593.56)"
andre,"Carpenter, Electrician, Plumber",15,-24196.669718018846,"($24,196.67)"
andre,"Carpenter, Electrician, Plumber",16,-23798.31687648122,"($23,798.32)"
andre,"Carpenter, Electrician, Plumber",17,-23398.49460281732,"($23,398.49)"
andre,"Carpenter, Electrician, Plumber",18,-22997.19737645356,"($22,997.20)"
andre,"Carpenter, Electrician, Plumber",19,-22594.41962884712,"($22,594.42)"
andre,"Carpenter, Electrician, Plumber",20,-22190.155773412764,"($22,190.16)"
andre,"Carpenter, Electrician, Plumber",21,-21784.400215449303,"($21,784.40)"
andre,"Carpenter, Electrician, Plumber",22,-21377.147322065815,"($21,377.15)"
andre,"Carpenter, Electrician, Plumber",23,-20968.391452107528,"($20,968.39)"
andre,"Carpenter, Electrician, Plumber",24,-20558.12693608139,"($20,558.13)"
andre,"Carpenter, Electrician, Plumber",25,-20146.348086081387,"($20,146.35)"
andre,"Carpenter, Electrician, Plumber",26,-19733.04918571352,"($19,733.05)"
andre,"Carpenter, Electrician, Plumber",27,-19318.224510020467,"($19,318.22)"
andre,"Carpenter, Electrician, Plumber",28,-18901.86830540596,"($18,901.87)"
andre,"Carpenter, Electrician, Plumber",29,-18483.974789558866,"($18,483.97)"
andre,"Carpenter, Electrician, Plumber",30,-18064.538151376917,"($18,064.54)"
andre,"Carpenter, Electrician, Plumber",31,-17643.552590890155,"($17,643.55)"
andre,"Carpenter, Electrician, Plumber",32,-17221.012249184074,"($17,221.01)"
andre,"Carpenter, Electrician, Plumber",33,-16796.91126832244,"($16,796.91)"
andre,"Carpenter, Electrician, Plumber",34,-16371.243741269782,"($16,371.24)"
andre,"Carpenter, Electrician, Plumber",35,-15944.003781813575,"($15,944.00)"
andre,"Carpenter, Electrician, Plumber",36,-15515.185444486133,"($15,515.19)"
andre,"Carpenter, Electrician, Plumber",37,-15084.78276448613,"($15,084.78)"
andre,"Carpenter, Electrician, Plumber",38,-14652.78976759987,"($14,652.79)"
andre,"Carpenter, Electrician, Plumber",39,-14219.200460122162,"($14,219.20)"
andre,"Carpenter, Electrician, Plumber",40,-13784.008798776933,"($13,784.01)"
andre,"Carpenter, Electrician, Plumber",41,-13347.208740637483,"($13,347.21)"
andre,"Carpenter, Electrician, Plumber",42,-12908.794223046432,"($12,908.79)"
andre,"Carpenter, Electrician, Plumber",43,-12468.75913353533,"($12,468.76)"
andre,"Carpenter, Electrician, Plumber",44,-12027.097369743951,"($12,027.10)"
andre,"Carpenter, Electrician, Plumber",45,-11583.802769339238,"($11,583.80)"
andre,"Carpenter, Electrician, Plumber",46,-11138.869179933945,"($11,138.87)"
andre,"Carpenter, Electrician, Plumber",47,-10692.29040900493,"($10,692.29)"
andre,"Carpenter, Electrician, Plumber",48,-10244.060243811111,"($10,244.06)"
andre,"Carpenter, Electrician, Plumber",49,-9794.17244131111,"($9,794.17)"
andre,"Carpenter, Electrician, Plumber",50,-9342.620738080535,"($9,342.62)"
andre,"Carpenter, Electrician, Plumber",51,-8889.398860228941,"($8,889.40)"
andre,"Carpenter, Electrician, Plumber",52,-8434.500483316448,"($8,434.50)"
andre,"Carpenter, Electrician, Plumber",53,-7977.9192722700245,"($7,977.92)"
andre,"Carpenter, Electrician, Plumber",54,-7519.648891299425,"($7,519.65)"
andre,"Carpenter, Electrician, Plumber",55,-7059.682923812767,"($7,059.68)"
andre,"Carpenter, Electrician, Plumber",56,-6598.014992331819,"($6,598.01)"
andre,"Carpenter, Electrician, Plumber",57,-6134.638648406868,"($6,134.64)"
andre,"Carpenter, Electrician, Plumber",58,-5669.5474325313135,"($5,669.55)"
andre,"Carpenter, Electrician, Plumber",59,-5202.734874055845,"($5,202.73)"
andre,"Carpenter, Electrician, Plumber",60,-4734.194451102336,"($4,734.19)"
andre,"Carpenter, Electrician, Plumber",61,-4263.919650477335,"($4,263.92)"
andre,"Carpenter, Electrician, Plumber",62,-3791.903897585231,"($3,791.90)"
andre,"Carpenter, Electrician, Plumber",63,-3318.1406163410575,"($3,318.14)"
andre,"Carpenter, Electrician, Plumber",64,-2842.62319908294,"($2,842.62)"
andre,"Carpenter, Electrician, Plumber",65,-2365.3450164841997,"($2,365.35)"
andre,"Carpenter, Electrician, Plumber",66,-1886.299407465067,"($1,886.30)"
andre,"Carpenter, Electrician, Plumber",67,-1405.479689104075,"($1,405.48)"
andre,"Carpenter, Electrician, Plumber",68,-922.8791465490795,($922.88)
andre,"Carpenter, Electrician, Plumber",69,-438.4910429278789,($438.49)
andre,"Carpenter, Electrician, Plumber",70,47.691370741453284,$47.69
andre,"Carpenter, Electrician, Plumber",71,535.6748956406955,$535.67
andre,"Carpenter, Electrician, Plumber",72,1025.466345241879,"$1,025.47"
andre,"Carpenter, Electrician, Plumber",73,1517.0725453981322,"$1,517.07"
andre,"Carpenter, Electrician, Plumber",74,2010.5003844348394,"$2,010.50"
andre,"Carpenter, Electrician, Plumber",75,2505.7567332412254,"$2,505.76"
andre,"Carpenter, Electrician, Plumber",76,3002.8485253622457,"$3,002.85"
andre,"Carpenter, Electrician, Plumber",77,3501.782707090926,"$3,501.78"
andre,"Carpenter, Electrician, Plumber",78,4002.566247561015,"$4,002.57"
andre,"Carpenter, Electrician, Plumber",79,4505.206138840054,"$4,505.21"
andre,"Carpenter, Electrician, Plumber",80,5009.709416022801,"$5,009.71"
andre,"Carpenter, Electrician, Plumber",81,5516.083137325055,"$5,516.08"
andre,"Carpenter, Electrician, Plumber",82,6024.334374177859,"$6,024.33"
andre,"Carpenter, Electrician, Plumber",83,6534.470241322062,"$6,534.47"
andre,"Carpenter, Electrician, Plumber",84,7046.497876903304,"$7,046.50"
andre,"Carpenter, Electrician, Plumber",85,7560.424432567364,"$7,560.42"
andre,"Carpenter, Electrician, Plumber",86,8076.257103555912,"$8,076.26"
andre,"Carpenter, Electrician, Plumber",87,8594.003118802615,"$8,594.00"
andre,"Carpenter, Electrician, Plumber",88,9113.669711029688,"$9,113.67"
andre,"Carpenter, Electrician, Plumber",89,9635.264156844802,"$9,635.26"
andre,"Carpenter, Electrician, Plumber",90,10158.793756838397,"$10,158.79"
andre,"Carpenter, Electrician, Plumber",91,10684.265845681388,"$10,684.27"
andre,"Carpenter, Electrician, Plumber",92,11211.687792223274,"$11,211.69"
andre,"Carpenter, Electrician, Plumber",93,11741.066959590644,"$11,741.07"
andre,"Carpenter, Electrician, Plumber",94,12272.410785286085,"$12,272.41"
andre,"Carpenter, Electrician, Plumber",95,12805.726691287502,"$12,805.73"
andre,"Carpenter, Electrician, Plumber",96,13341.022174147805,"$13,341.02"
andre,"Carpenter, Electrician, Plumber",97,13878.304715095075,"$13,878.30"
andre,"Carpenter, Electrician, Plumber",98,14417.58186013305,"$14,417.58"
andre,"Carpenter, Electrician, Plumber",99,14958.861160142089,"$14,958.86"
andre,"Carpenter, Electrician, Plumber",100,15502.150200980514,"$15,502.15"
andre,"Carpenter, Electrician, Plumber",101,16047.456603586385,"$16,047.46"
andre,"Carpenter, Electrician, Plumber",102,16594.78802407966,"$16,594.79"
andre,"Carpenter, Electrician, Plumber",103,17144.1521238648,"$17,144.15"
andre,"Carpenter, Electrician, Plumber",104,17695.556619733776,"$17,695.56"
andre,"Carpenter, Electrician, Plumber",105,18249.009243969515,"$18,249.01"
andre,"Carpenter, Electrician, Plumber",106,18804.517754449727,"$18,804.52"
andre,"Carpenter, Electrician, Plumber",107,19362.089964751212,"$19,362.09"
andre,"Carpenter, Electrician, Plumber",108,19921.733684254537,"$19,921.73"
andre,"Carpenter, Electrician, Plumber",109,20483.456778249165,"$20,483.46"
andre,"Carpenter, Electrician, Plumber",110,21047.267128039042,"$21,047.27"
andre,"Carpenter, Electrician, Plumber",111,21613.172661048528,"$21,613.17"
andre,"Carpenter, Electrician, Plumber",112,22181.181310928874,"$22,181.18"
andre,"Carpenter, Electrician, Plumber",113,22751.30105766504,"$22,751.30"
andre,"Carpenter, Electrician, Plumber",114,23323.539917682974,"$23,323.54"
andre,"Carpenter, Electrician, Plumber",115,23897.905913957373,"$23,897.91"
andre,"Carpenter, Electrician, Plumber",116,24474.4071461198,"$24,474.41"
andre,"Carpenter, Electrician, Plumber",117,25053.051690567325,"$25,053.05"
andre,"Carpenter, Electrician, Plumber",118,25633.847680571547,"$25,633.85"
andre,"Carpenter, Electrician, Plumber",119,26216.80329638811,"$26,216.80"
andre,"Carpenter, Electrician, Plumber",120,26801.9267353666,"$26,801.93"
andre,"Carpenter, Electrician, Plumber",121,27389.226202060963,"$27,389.23"
andre,"Carpenter, Electrician, Plumber",122,27978.709978340332,"$27,978.71"
andre,"Carpenter, Electrician, Plumber",123,28570.38633350029,"$28,570.39"
andre,"Carpenter, Electrician, Plumber",124,29164.263614374657,"$29,164.26"
andre,"Carpenter, Electrician, Plumber",125,29760.350165447628,"$29,760.35"
andre,"Carpenter, Electrician, Plumber",126,30358.654368966465,"$30,358.65"
andre,"Carpenter, Electrician, Plumber",127,30959.18465505458,"$30,959.18"
andre,"Carpenter, Electrician, Plumber",128,31561.94947182513,"$31,561.95"
andre,"Carpenter, Electrician, Plumber",129,32166.95730549503,"$32,166.96"
andre,"Carpenter, Electrician, Plumber",130,32774.216670499474,"$32,774.22"
andre,"Carpenter, Electrician, Plumber",131,33383.73611960685,"$33,383.74"
andre,"Carpenter, Electrician, Plumber",132,33995.52423703427,"$33,995.52"
andre,"Carpenter, Electrician, Plumber",133,34609.58963856335,"$34,609.59"
andre,"Carpenter, Electrician, Plumber",134,35225.94097665668,"$35,225.94"
andre,"Carpenter, Electrician, Plumber",135,35844.586932574646,"$35,844.59"
andre,"Carpenter, Electrician, Plumber",136,36465.53622449273,"$36,465.54"
andre,"Carpenter, Electrician, Plumber",137,37088.79760361935,"$37,088.80"
andre,"Carpenter, Electrician, Plumber",138,37714.37985431413,"$37,714.38"
andre,"Carpenter, Electrician, Plumber",139,38342.29179520666,"$38,342.29"
